date,close,open,high,low,volume,gas,oil,coal,power,stock,trends,pos,neg
2021/4/19,-0.134018336,-0.555248511,0.287324764,-1.077935432,7.743174013,2.566965224,0.418473186,-0.139762427,0.056417491,-0.150753797,0,0.036,0.265
2021/4/20,1.221830151,-0.827467541,0.528286503,0.293090053,-67.37290947,0.645776223,-0.718458412,0,0.281611,-2.13476976,27,0.125,0.253
2021/4/21,2.24875757,1.736463935,2.89938094,1.961721402,61.31044729,0,-1.895575751,0,0.392927814,0.971377781,26,0.923,0.219
2021/4/22,2.536638193,3.150037792,1.649783612,2.95802341,-16.74329443,1.949818051,0.122399036,0.418702635,1.70342945,0.936834298,35,0.361,0.044
2021/4/23,-0.274001647,1.464838845,-0.294117859,-0.279000074,23.19714654,-6.006777725,1.079776288,0,-0.073461895,-0.025204789,30,0.899,0.23
2021/4/26,0.610207049,-0.126528908,1.254459269,1.831397012,-42.12134651,1.797625585,-0.69824206,-0.139372845,-1.854308648,0.226614726,31,0,0
2021/4/27,0.230487268,0.231847506,0.311171291,-1.167369725,-21.13090937,5.939362798,1.16606152,0.208986492,0.243013485,-0.403226353,34,0.105,0.059
2021/4/28,1.041025433,1.35914272,1.173698226,2.049728391,166.5206472,0.327928878,1.271615609,-0.139275789,-0.037348273,0.327745157,31,0.127,0.065
2021/4/29,0.475256603,0.331744032,-0.410256986,-0.335219254,-88.75019034,5.157517535,1.899490225,0.208841009,0.130657975,-0.428806307,25,0.613,0.27
2021/4/30,1.635693798,0.557334501,2.396540366,1.147639096,95.60310605,3.97919254,-1.929225581,0,1.884756457,-0.405269045,100,0.25,0.462
2021/5/3,1.189410252,2.057727693,1.018277741,2.843017944,-239.7895273,-0.837661959,0.459907346,8.973136478,-3.331470275,0.531579533,30,0.14,0.119
2021/5/4,-1.697696393,1.003218687,-0.019866892,-1.462548922,156.563529,-0.280787226,1.934976818,-0.190900472,0.264600419,-1.937353482,29,0.035,0
2021/5/5,1.717734465,-1.549170907,-0.737863553,0.469532352,104.5484372,3.513183927,0.116076624,1.955281465,1.906956272,2.139118998,35,0.692,0.058
2021/5/6,0.996818461,1.289300696,1.962207441,1.21458983,-93.53591062,0.887460443,-1.269626686,1.856488962,3.493805136,0,26,0.261,0.216
